id	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil
GSM1369807	0.540626724057211	0.584796216357548	0.683444110598294	0.215394861903486	0.728489318744376	0.465614880007576	0.505456633193061	0.565591800157884	0.440579836137042	0.29357184331301	0.0250804376663168	0.571504631165612	0.331089477842959	0.642449690505779	0.351114295650133	0.37034042157259	0.467974113685115	0.474966102362081	0.974849718835783	0.444778580812611	0.7074386949641	0.75115797821753	0.509002965066769	0.661039515716402	0.30799009280027	0.629996619524408	0.844959435111221	0.475448786924016
GSM1369808	0.549559487977935	0.600257503776928	0.687874666177678	0.220278774684643	0.723317798484644	0.434014296376381	0.505874233585054	0.56373280347785	0.4296051154534	0.256046408439499	0	0.563099439463921	0.305532698049695	0.604551863894069	0.332639494306601	0.39208202476442	0.468417269074264	0.488326669035984	0.986797205630466	0.450146282986526	0.727447706856545	0.755735101828944	0.527582638590355	0.667687398657316	0.32599837398769	0.633755206608341	0.874326133124768	0.477026083650687
GSM1369809	0.465556449258605	0.600477070424238	0.699196430794762	0.207783642521691	0.725481931911489	0.473749669697878	0.504756181641132	0.563242931628631	0.451993514838778	0.301731254841675	0.027295597212021	0.583229780562597	0.304470391955003	0.635353980053332	0.372104398344402	0.370627487685796	0.487810622832511	0.470188807658611	0.970632136390479	0.43806801688651	0.751961340658865	0.781678206910084	0.526670368014386	0.680273791182711	0.329248926745808	0.66948540500177	0.868674073822283	0.458204294751122
GSM1369810	0.453033877545043	0.586675036363865	0.682239459076571	0.194576176551866	0.722918009265513	0.450458004125066	0.499263602590695	0.538582664068355	0.434462144622779	0.295219268893901	0.0407441964257611	0.556065380116554	0.336531948504306	0.611102688504216	0.367340030429456	0.370243474530702	0.46234295742836	0.47587122021759	0.976954319142382	0.445015257197146	0.706621181089244	0.743915982043585	0.500413421234879	0.689314145215115	0.291067229356875	0.61050838091197	0.861530744462762	0.481806600606098
GSM1369811	0.469081518912876	0.573248591734002	0.675417340968502	0.169460776858544	0.734558096591003	0.448203701845772	0.509572685079471	0.557290055643828	0.428946894583249	0.274319438631446	0.0453177032775359	0.593945509484029	0.274645201465334	0.608389483268317	0.378172972481098	0.387393998046195	0.468201520406359	0.478467403721849	0.976090386440561	0.446911933641804	0.720727596257437	0.721380783438678	0.517959354555325	0.688720737735014	0.330530442937998	0.628052299961243	0.872073182765501	0.460960441561515
GSM1369812	0.461665635796189	0.57407836500326	0.690560198780823	0.20773751031867	0.72071979882526	0.467655869956479	0.505050504383025	0.552905770336736	0.439399292431177	0.290089347464792	0.0398730760595861	0.572468703612141	0.367435762475449	0.642951899137522	0.3625027238089	0.385125846975479	0.457573673093852	0.473816155318651	0.97728624345154	0.4493922322811	0.736680931372755	0.762929438063755	0.523137895769272	0.663119738769004	0.32624997907995	0.633504295970977	0.85084108320895	0.462407331121362
GSM1369813	0.48578001528633	0.567482210925736	0.689277687559283	0.238763833879991	0.729688934824271	0.495208822224374	0.514523701251147	0.568980058088773	0.438174426112435	0.297689283319342	0.0358799761820844	0.551628757692673	0.334019373341799	0.64122791739677	0.368768110559053	0.387507426602478	0.468082047568816	0.480202659031267	0.96339878923532	0.427215025310571	0.723108046834479	0.771794276805201	0.524227932540747	0.665233653842371	0.298991629121589	0.650415746573647	0.847135169936481	0.414193677520268
GSM1369814	0.459351248852587	0.588464150397861	0.688994322367769	0.198251479863435	0.724077444833908	0.465491170551823	0.509742443868462	0.544979392289415	0.427261137862812	0.285642066859163	0.0252211187976301	0.557683630268672	0.353379589554837	0.614728598737189	0.374828028745628	0.36665867595206	0.480305176273292	0.471959949800283	0.973469125483714	0.434944423000337	0.719007442325029	0.765602424387153	0.539703872054742	0.684543679839684	0.345508800265578	0.618190279705206	0.860110201960536	0.463356541671199
GSM1369815	0.502360573467952	0.608961560082226	0.700278315628418	0.222730932626089	0.730068269445263	0.452637489937347	0.506032062006333	0.543615059444035	0.437038054427517	0.269379773555982	0.0208036306142693	0.573717339153837	0.361410966577877	0.611734237721709	0.381710311669738	0.367400972504103	0.479393166103041	0.487968464968451	0.972471786190515	0.446697341025535	0.727781260547289	0.744715088499911	0.526307966934486	0.667751244896979	0.294888224740537	0.61456903678969	0.880286476427023	0.457578447064748
GSM1369816	0.463783906469541	0.58509721622555	0.670524277795412	0.180499754889171	0.721924946671771	0.432665507704003	0.50743714453417	0.538405984932655	0.437602873048639	0.292308461729791	0.0423554955556972	0.581630044356832	0.269971260076461	0.596059277790113	0.393634266007259	0.385691842268123	0.483723214627641	0.47947777879707	0.97596951448529	0.44466550101651	0.733184307158335	0.73279066036387	0.512804444291621	0.687959008384331	0.305916073063282	0.660667031835331	0.87175789675195	0.453404831729229
GSM1369817	0.514165580634196	0.587760434706819	0.697421552068345	0.198197801233195	0.718136720080847	0.448673655697507	0.502353034532107	0.54556304197663	0.430877852737283	0.24481984732443	0.041990537924311	0.590632191617179	0.314122456934957	0.598061703406938	0.361821657132152	0.373358421278742	0.459679066296326	0.489746123650747	0.980891484360078	0.441461074619734	0.746262010185714	0.754157208767233	0.515025222466008	0.695955881804689	0.307277414748001	0.662098986463179	0.861917655501393	0.501840554428371
GSM1369818	0.489680914642012	0.577025734912277	0.683077804873591	0.182224173930488	0.724104207973972	0.454385342611079	0.488266217077246	0.563378037410618	0.428697349703193	0.267564442487333	0.0271892269360536	0.560000133668569	0.259446220058168	0.607850074770318	0.366173016380048	0.377085625290598	0.477396601621424	0.465365406768939	0.958473300456829	0.4414247606699	0.725050253480271	0.745029279420601	0.524925263013291	0.6762682409033	0.342774769140258	0.639816182076717	0.853856677080358	0.486103286223433
GSM1369819	0.430822932518718	0.579877547410809	0.677039436761638	0.174610656301551	0.724525109382705	0.430753290099228	0.503649794449214	0.540445955245264	0.440525906239516	0.299294549837222	0.0383060074501034	0.594765739497407	0.256826592345983	0.617501658490684	0.376386615769641	0.380953933997406	0.463573910112278	0.458914430957248	0.98431431560646	0.437851573304748	0.733442951021811	0.723452391366175	0.499142431409009	0.707542231558011	0.280189346976554	0.632294984208948	0.861069400853173	0.46752214246986
GSM1369820	0.469967720581893	0.571625568715858	0.699341168549243	0.221583639627272	0.726315915303419	0.434146646954224	0.513782784345695	0.537473353409573	0.439642532082667	0.30622781505691	0.0528533136107472	0.562341150720916	0.312414111016956	0.643569983103404	0.367746573462887	0.376771864498118	0.474320301832178	0.504601137191192	0.977986589528147	0.44595703414922	0.698588894365759	0.735079909727729	0.521089618048064	0.673185098719472	0.298853826673063	0.614028304061808	0.85542253288301	0.430462354502473
GSM1369821	0.533969532570502	0.598710932511857	0.696428920198322	0.209639102847495	0.720379042399287	0.427536462397933	0.514186127037221	0.527623986304627	0.446013209536345	0.281161074125168	0.0285626047209872	0.59805413183263	0.352195579801319	0.573455765170334	0.370800796669266	0.393580677142489	0.453097796091309	0.516477607564247	0.991299215221535	0.467365046161002	0.730148758430155	0.722104296494748	0.519838336128527	0.70618740534642	0.323541405428628	0.615044836902259	0.889745345471543	0.459902674900048
