id	AREG	CCL11	CCL20	CCL3	CCL8	CTSB	CXCL1	CXCL11	CXCL5	CXCL8	EREG	IGFBP3	IL15	IL1A	IL1B	IL6	MMP1	MMP10	MMP12	MMP14	MMP3	PIGF	PLAU	PLAUR	SERPINE1	TIMP2	TNFRSF11B	TNFRSF1A	VEGFA	Cluster
GSM1369806	4.884743	5.6666165	5.1636925	7.667393	5.445523375	10.4733019375	5.670675375	4.8095615625	5.54057695833333	5.9555026875	5.575287	6.2149036875	7.036666625	5.93017575	9.1927263125	5.640646125	5.0373865	4.873365	5.209879875	7.10970778125	5.114507	7.144115875	6.3736575	9.04137770833333	6.14893025	9.660331	4.8322431875	10.045327375	7.309108125	Cluster2
GSM1369807	4.9048245625	5.4731771875	5.1402665	7.550263	5.758591875	10.20037075	5.5374013125	4.8168915	6.19128647916667	6.2339464375	5.28085325	6.0054753125	6.75531925	5.9876604375	9.0857179375	5.839187625	5.02123675	4.792091875	5.1217855	7.0194315	5.247623	7.2975475625	6.20169275	8.62259420833333	5.9906448125	8.9622635	4.8225065	9.780777625	7.31470734375	Cluster1
GSM1369808	4.8464239375	5.679272375	5.054715875	8.927818	5.5523785	10.2187134375	5.533480375	4.69985778125	5.338806	7.111055375	5.143348625	6.0159605	6.90789525	5.729227625	9.274883	5.6666165	4.96687675	4.80112575	5.099484125	7.04276590625	5.236842125	7.3823954375	6.39887825	9.02167391666667	6.298132125	9.06425575	4.9659656875	9.154475625	7.2906253125	Cluster2
GSM1369809	4.90319325	5.8070404375	5.220235125	7.826294125	5.58778925	10.509780375	5.492548375	4.82397725	6.41519954166667	5.8750736875	5.04621425	6.118140875	6.885540125	5.718392	9.0488869375	5.8293935625	5.002998	4.706477	5.098519875	7.14845471875	5.077057875	7.060662875	6.36883290625	8.571570375	6.294525375	9.285555625	4.8711693125	9.980707125	7.200606265625	Cluster2
GSM1369810	4.871538875	5.609452125	5.245719375	6.9693	5.38541825	10.09190746875	5.50695475	4.7391014375	5.48497191666667	5.9400668125	5.782098875	5.9948304375	6.856616375	5.7652534375	8.644155625	5.738021125	4.871202625	4.892655625	5.2491365	7.163856375	5.287772	7.2248966875	6.2973644375	8.865432625	6.027309125	9.153487125	4.8993478125	9.925998625	7.3880369375	Cluster1
GSM1369811	4.9533443125	5.556791625	5.30811425	8.242095375	5.41248425	10.06950578125	5.69151775	4.9625561875	5.49339983333333	6.0989969375	5.3005625	6.5516350625	7.0588725625	5.8019745	9.0420646875	5.680129125	4.960501875	4.865777875	5.023509	6.990456859375	5.117171375	7.237612	6.5608510625	8.58497970833333	6.0579633125	9.007735875	4.807059875	9.93913125	7.41153875	Cluster1
GSM1369812	4.8708991875	5.71486975	5.077057875	7.66827725	5.6405305	10.024560625	5.351790375	4.8346133125	5.94428591666667	5.895796875	5.239130375	6.1598983125	6.9396145625	5.76278878125	8.78878	5.51278875	5.10785075	4.962053875	5.0869745	7.1519093125	5.10608725	7.3552641875	6.2868804375	8.695757375	6.1772301875	8.947446625	4.8797794375	9.702058	7.37922028125	Cluster1
GSM1369813	5.04135665625	5.54602375	5.161318375	7.606836625	5.699047375	10.14515003125	5.513994625	4.7441046875	6.35622695833333	6.01791025	5.1616415	6.305732375	6.9524419375	5.808708	8.7081115	5.74266775	5.415952875	4.983980875	5.1659279375	7.0877880625	5.164052	7.26224375	6.30111825	8.65207045833333	6.06572125	8.943980875	4.806489375	9.717075625	7.2992018125	Cluster1
GSM1369814	4.82347525	5.65505325	5.195420375	6.891933875	5.423117125	10.61279215625	5.5376505	4.804995	5.54894904166667	5.959458875	5.63149325	6.19205425	6.8069494375	5.86887825	8.4911544375	5.6991071875	5.0075286875	4.76211375	5.05333	7.014468359375	5.082144	7.564843375	6.25701209375	8.9112145	6.0696255	8.891851875	4.8373846875	9.6401485	7.343155203125	Cluster1
GSM1369815	4.86877675	5.5535449375	5.156322	7.22404625	5.54021775	10.239787	5.5489005	4.8873885625	5.69742379166667	5.821338875	5.13919825	6.06774025	6.979803	5.8051013125	8.2662351875	5.7788765	5.013655125	4.73575	5.021070625	7.1640936875	4.9750815625	6.9636779375	6.345297875	8.75186354166667	6.089361375	9.429300375	4.8603374375	10.000792875	7.11338703125	Cluster2
