symbol	GSM1526572	GSM1526573	GSM1526574	GSM1526575	GSM1526576	GSM1526577	GSM1526578	GSM1526579	GSM1526580	GSM1526581
OTX1	7.8860035054	6.3584421809	6.446429009	6.691489676	7.1167092052	6.4637312655	6.2478341482	6.3367735149	7.6617028321	6.6912590023
OTX2	4.2485136974	3.8576792584	4.1046322001	4.1120310386	4.2926456349	4.2651556405	3.9335084198	3.9628134899	4.3151951015	4.0375994447
OVCH1	3.5979185782	3.2696905535	3.3016294739	3.4096060896	3.3945948716	3.4024140858	3.2505828812	3.3648675356	3.5423375641	3.3065495695
OVCH2	3.2681825513	3.0588087167	3.0579887217	3.2880689559	3.2059790202	3.3448593342	3.0081681836	3.2090832271	3.2527512419	3.0825855173
OVGP1	4.7746953905	4.5572545875	4.3543535219	4.4382089127	4.8812891573	4.3291352734	4.3667577507	4.419641516	4.7207408239	4.5222568087
OVOL1	5.9142141175	4.9937797649	5.2010354038	5.3347835286	5.189487694	5.2277508339	5.0026321035	5.1582275231	5.6349640895	4.9749575854
OVOL2	6.3709817324	4.782353919	5.0172803363	5.0838842069	5.0977768532	4.9887831217	4.5622082737	4.5886053486	5.7674130355	4.8877405725
OVOS2	7.2761466685	6.0050116943	5.8967374222	6.1261679225	6.6719687287	6.0515550252	5.8709764885	5.8283831474	7.0625266426	6.2704833806
OXA1L	10.661348914	10.602742613	10.1860618099	10.862875998	10.284433276	11.102917222	11.071545113	10.798126541	10.99740052	10.786653255
OXCT1	4.4169853602	4.6891265071	4.7313795526	4.4582864107	5.7178146733	4.7814235332	4.8079642416	4.4885852893	4.4089719947	5.300282792
OXER1	7.8133428572	7.1086377638	6.8520173485	7.0785292471	6.9699025718	7.0590701026	7.0682823471	6.8552058674	7.484767833	6.9498216934
OXGR1	3.2347820579	3.0351674143	2.6314368872	3.0990211784	2.7304074635	2.9708617104	2.9944156809	2.9560413771	3.2696905535	2.8074614326
OXNAD1	6.1341440393	7.2062722574	7.0208337617	6.5414904885	9.8164915222	7.1039575767	7.3408771345	6.9061388748	6.2518189805	8.5627219325
OXR1	4.6840118379	6.9649026256	7.2758924245	6.6169904056	5.5122974813	6.594285385	6.771839726	6.7974519546	4.6301978881	6.0848494675
OXSM	5.2514705664	5.4630227923	5.5770987803	5.5985972639	5.5654803614	5.294937348	5.7960547956	5.651747903	5.4616845476	5.5201843957
OXSR1	7.8832688986	7.2761466685	7.0729521592	6.9407620803	7.4121311429	7.4775678186	7.3097331368	6.4681729129	7.6796429254	7.4061568757
OXT	8.3272834649	6.2340924094	6.1763048628	6.5967889066	7.0278175431	6.437902918	5.950181452	6.1571524261	7.4492102863	6.1554171483
OXTR	6.8366510095	6.9171781249	6.3702894641	5.8999536207	6.1372646379	6.3904492974	6.2464099115	5.9099675614	5.7329322302	5.6464463894
P2RX1	9.2908377728	8.9192879531	9.2546102015	8.7896004334	7.0712660977	9.1708511889	9.0196875031	8.7453568735	8.7801829877	8.2291327487
P2RX2	7.4113577107	5.9663432152	6.0650554625	6.1632655526	6.5395548044	5.8626188135	5.7205443366	5.9023869736	7.0349204487	5.9291018037
P2RX3	5.8803477442	4.6762863323	4.8781624838	5.0769263088	4.9513464745	4.8623957957	4.8378807786	4.9519100893	5.188323674	4.7832734624
P2RX4	6.8974584576	7.1234825924	6.7619356188	7.0504653995	6.7623664103	7.6026915616	7.2782891853	7.1749541288	7.0073630851	6.9823470066
P2RX5	5.9347303296	5.2434144121	5.4729263902	5.7159517388	8.0868526323	5.9420548768	5.5231426324	5.7077773427	5.6692912998	7.1538122168
P2RX6	5.8166323299	4.7433458181	4.7990425446	5.0526126572	5.2365593879	4.8999586004	4.6167862423	4.9025868554	5.821614039	5.0044081347
P2RX7	8.139404556	8.4020993728	8.4518717042	8.7431903572	6.9340324792	8.6134985078	8.4283167145	8.5927269901	8.6419354589	8.0764750063
P2RY1	7.0866505961	7.0313260196	7.1805750356	6.0325012146	5.7979823621	6.497447219	6.4688718293	5.9933137714	6.7402957629	5.4642809882
P2RY10	4.8623957957	6.8797154995	7.2870728878	4.2028391747	6.1118544323	6.095569713	5.918639042	4.8681335999	4.525199072	5.5956892315
P2RY11	6.2035206417	5.9676368363	6.0818017477	6.1121068935	7.388716612	6.0111155351	5.8126757195	6.1197044981	6.3748152594	6.4289625931
P2RY12	6.9770159961	8.9542746935	8.9161869803	6.0090574738	3.9408518853	7.7768961503	7.6033335329	7.049999187	5.2434144121	4.9858544
P2RY13	9.8719982765	10.695402583	10.0089553349	10.636905375	7.0282997448	10.0424719542	11.242363379	10.552919699	9.0564854614	9.5742185937
P2RY14	5.6076126217	5.9889402426	5.3359812233	5.6987931756	5.7900298591	6.3054675802	5.5690552684	5.5243912979	5.3394498876	6.2053300619
P2RY2	8.2748994743	7.3991328389	7.8330964894	7.7977662007	6.7246813228	7.5499847704	8.1063648975	8.019230582	8.6710881399	7.8883438054
P2RY4	4.9466244063	4.5466651273	4.2088619198	4.7591665508	4.7722325485	4.4271690633	4.3288681407	4.5493874569	5.0571932966	4.6111633449
P2RY6	6.180596022	5.2754465996	5.3385317721	5.3748727712	5.5310278682	5.0311448557	5.2787477492	4.9704359457	5.8453949847	5.3419605122
P4HA1	4.5289859912	6.9276142288	7.1055881545	7.1853545318	5.4742360997	6.9661313267	6.7375828771	7.1453007712	6.2307030213	6.6998068299
P4HA2	4.96129598245	5.14912041905	4.86998591895	5.18365310155	4.8456942951	5.23873050015	4.9650259422	5.38564298175	5.3212368147	4.7340642511
P4HA3	4.2771978737	3.876016735	4.2248308068	4.1554593079	4.1778749539	4.0396008186	3.8479093623	4.0469902021	4.3753627442	4.0369989375
P4HTM	6.9827367482	6.4475741128	6.3405780832	6.5138031973	7.4090855453	6.6561957957	6.5647534317	6.4375067678	6.7915011411	6.8181536357
PA2G4	11.003853658	9.8066727371	9.6174440126	10.386899644	10.497150195	10.60528018	10.868098213	10.091891702	11.686782222	11.035121298
PAAF1	4.5939167978	4.7547679167	4.5909205438	4.790134021	4.6479181867	5.0464288034	5.2805397779	4.9996916763	4.9276865323	5.0829083901
PABPC1P2	3.1777441305	2.9218795307	3.1016093087	3.155886351	3.1277001008	3.4142326535	3.3541475877	3.2041168288	3.3773358627	3.1016093087
PABPC3	4.9345250958	4.819135487	4.8763098698	4.8759437444	4.7141496554	4.9326111839	4.8218621003	4.9818338663	5.0742774325	4.5178596687
PABPC4	7.4834294055	8.0805079069	7.9103492151	7.7923447985	7.5557751996	8.4464216742	8.1081025625	7.5061640071	6.8027807924	7.7038954629
PABPC5	4.5259057363	4.0597101215	4.0727483203	4.0459340665	4.0385153393	3.972100968	3.804650834	3.8630457125	4.2310132429	3.8504150534
PABPN1	6.8677985548	7.8465026884	7.627814431	7.7120433871	7.8569488037	7.6082052067	7.4876499262	7.7998852626	7.6269764795	7.7523412999
PACRG	4.5029773262	3.9302008361	4.1770643486	4.2591584597	4.1742728275	4.261016428	4.1480803079	4.0375994447	4.6357071483	4.2028391747
PACRGL	5.3778129814	6.7715552373	6.929114314	6.6283103221	6.196576025	6.6542023569	6.7342603748	6.6646867878	5.7447510694	6.4409760077
PACS1	7.2941700321	7.5345910627	7.8610599881	7.6133630748	8.7840182061	7.8725604765	7.4086497717	7.9373941044	7.8928606955	8.2053640929
PACS2	8.4405322119	7.2591482814	7.0064201242	7.369294085	7.7812889472	7.0862354659	6.8144242723	6.9735449912	8.2771946932	7.3959596727
PACSIN1	7.3880146036	5.9784813837	5.8891290211	6.134592739	6.7003673265	5.8970606161	5.6874721267	5.8050900535	6.9171781249	6.2431047842
PACSIN2	8.7746850508	8.696921269	8.9542746935	8.2791233543	7.3740679226	8.9161869803	8.798707473	8.4524737652	8.5445677475	8.0808284605
PACSIN3	6.5299698632	5.8013725321	5.7781610705	5.9272037302	6.336501311	5.6223638778	5.6948980036	5.9006568121	6.7013417235	5.7021442441
PADI1	6.3616019929	5.0526126572	4.8774673819	5.1057653269	5.2711818217	4.9187040412	4.960962282	5.0749714285	5.7604590926	5.1159352097
PADI2	8.3446361175	8.4593934904	7.1284203934	7.9757262761	7.1202239538	8.9370533004	8.5477430912	9.0763283469	7.8900316831	8.9013554927
PADI3	6.3655636738	5.1434646972	5.079889712	5.2921805909	5.5714986176	5.2038737481	5.1036017971	5.1262982575	6.0282069097	5.4145507658
PADI4	8.0431222874	8.0772174884	7.8189088469	7.9932343749	6.7374042672	7.4745063934	7.8865203625	8.3314719718	7.9429710149	7.8260257469
PADI6	5.1672575585	4.5361028643	4.3260464999	4.4701049529	4.6788362339	4.2748162101	4.3939321961	4.3137943334	4.952712403	4.7718759584
