id	GSM1369756	GSM1369757	GSM1369758	GSM1369759	GSM1369760	GSM1369761	GSM1369762	GSM1369763	GSM1369764	GSM1369765	GSM1369766	GSM1369767	GSM1369768	GSM1369769	GSM1369770	GSM1369771	GSM1369772	GSM1369773	GSM1369774	GSM1369775	GSM1369776	GSM1369777	GSM1369778	GSM1369779	GSM1369780	GSM1369781	GSM1369782	GSM1369783	GSM1369784	GSM1369785	GSM1369786	GSM1369787	GSM1369788	GSM1369789	GSM1369790	GSM1369791	GSM1369792	GSM1369793	GSM1369794	GSM1369795	GSM1369796	GSM1369797	GSM1369798	GSM1369799	GSM1369800	GSM1369801	GSM1369802	GSM1369803	GSM1369804	GSM1369805	GSM1369806	GSM1369807	GSM1369808	GSM1369809	GSM1369810	GSM1369811	GSM1369812	GSM1369813	GSM1369814	GSM1369815	GSM1369816	GSM1369817	GSM1369818	GSM1369819	GSM1369820	GSM1369821	GSM1369822	GSM1369823	GSM1369824	GSM1369825	GSM1369826	GSM1369827	GSM1369828	GSM1369829	GSM1369830	GSM1369831	GSM1369832	GSM1369833	GSM1369834	GSM1369835
TP63	6.10609815625	5.92109603125	5.8565060625	5.9483275	5.90247695833333	5.89903364583333	5.86598364583333	6.04417695833333	5.96097728125	5.95335552083333	5.9418556875	5.99392327083333	5.90306519791667	5.97362798958333	5.89411154166667	5.91040344791667	5.95590160416667	5.90196410416667	5.85174727083333	6.03895922916667	5.92050625	5.87168077083333	5.8888536875	5.89734095833333	5.91184657291667	5.9591185	5.87737054166667	5.95115130208333	6.00580392708333	5.9336583125	5.96555916666667	5.97976941666667	6.0114445	5.92838923958333	5.93285067708333	5.908568875	5.87939483333333	5.8602380625	5.97269641666667	6.00436935416667	5.9475295625	6.0047518125	5.90569577083333	5.98223222916667	5.87517832291667	5.96387392708333	5.98139077083333	5.92494433333333	6.06490653125	6.11758795833333	5.95439639583333	5.99747410416667	5.9252711875	5.9982746875	5.93445475	5.95717102083333	5.98947398958333	5.92010689583333	5.97429592708333	6.02879229166667	5.95428272916667	5.93872567708333	5.909799375	5.99420551041667	6.04207108333333	6.02388813541667	6.0657918125	5.97647970833333	6.01116329166667	5.954181125	5.97069501041667	5.92370129166667	6.03193526041667	5.85971329166667	6.00510008333333	5.97072941666667	5.93468783333333	5.9781325	5.9468995625	5.9564429375
KDM4A	7.939546875	7.7254045	7.411637125	7.6183815625	7.40228471875	7.5804276875	7.39782775	7.591379	7.61746975	7.67298375	7.6154374375	7.6600068125	7.5454126875	7.54306625	7.60534025	7.5693895625	7.6422951875	7.55159125	7.5640590625	7.2499683125	7.51972475	7.7388994375	7.54312453125	7.5092325625	7.4493409375	7.82752725	7.5611663125	7.73443425	7.818918875	7.732780125	7.561062625	7.744560125	7.426234125	7.4687169375	7.89212825	7.6536639375	7.642908875	7.8191325625	7.8055931875	7.578454	7.5655055	7.4802238125	7.8386364375	7.6893106875	7.66787875	7.7770186875	7.7106659375	7.797871125	7.81047325	7.6798960625	7.7625700625	7.695957375	7.7142899375	7.6948050625	7.600334125	7.720013875	7.768073625	7.6871790625	7.611661625	7.585570625	7.82803375	7.57439025	7.7210513125	7.633814875	7.895739	7.783365125	7.7373734375	7.7864035	7.6242734375	7.7321841875	7.7144820625	7.6229526875	7.90573503125	7.4826366875	7.750912125	7.64515775	7.497106125	7.525652875	7.6415955	7.648803
VENTX	8.181940875	8.022577375	7.402508625	7.517923875	7.207495125	7.999245	7.981694625	8.167461375	7.693218875	7.614864625	7.7192315	7.817052375	8.015354625	7.652057125	7.81688925	7.961667875	7.835575	7.976820875	7.58379925	7.44152125	7.895761125	7.912156125	7.811392625	7.466707375	7.836463375	7.89908275	7.7741305	7.876774625	8.12548925	7.6799238125	7.8225405	8.004404375	7.9193518125	7.67622	7.76210425	7.786853125	8.06329275	8.121340875	7.843776625	7.976820875	7.967500625	7.713313125	7.852314875	8.221158125	7.868603125	7.6360035	7.800254375	8.05182825	7.999245	8.080800125	7.930671625	7.84237725	7.83181175	7.91649275	7.976433875	8.102871875	7.7551885	8.047785375	7.789935375	7.944285625	7.83181175	8.128060375	7.77960075	7.781657	7.935375875	8.2223555	8.026082375	8.18573275	8.825878	7.854973875	8.246342625	7.89639725	7.893642875	7.65241075	7.927633625	7.7512185	7.713313125	7.745517875	8.017841	8.4175295
DUSP3	7.83756808333333	8.29501654166667	8.17111691666667	8.19294233333333	7.739440875	7.885228375	7.90240633333333	8.00941320833333	8.14262904166667	8.20884395833333	7.89665333333333	8.07780745833333	8.22340325	8.14697654166667	7.947935875	7.675311625	8.19302670833333	8.06060845833333	8.22592520833333	7.96359625	7.94693308333333	8.19697425	8.10344829166667	7.93891245833333	8.099182125	8.42097079166667	8.187884875	8.306134875	8.02279870833333	8.25530825	8.61724520833333	8.35222466666667	8.13333183333333	7.86246145833333	8.68101429166667	8.10609920833333	7.911618875	8.732513	8.36367658333333	8.334726875	7.87027070833333	7.809042625	7.69776283333333	8.11115041666667	8.03427879166667	8.073717875	7.72135079166667	7.91805977083333	7.952291	7.89679097916667	8.01581725	7.89380879166667	7.55253745833333	8.21356841666667	8.04358945833333	8.05606333333333	7.80584666666667	7.75581425	7.920750875	7.98237191666667	8.06064816666667	7.77651129166667	7.86860470833333	8.07319583333333	8.07139425	7.82129525	8.14851129166667	7.98272341666667	8.49227170833333	8.02381866666667	7.977507625	8.19156029166667	8.05729558333333	8.44391470833333	8.11751116666667	8.43883675	8.24722808333333	7.98662979166667	8.048641625	8.08129366666667
CCND1	5.5183041875	5.5126763125	5.470580875	5.541196125	5.4751801875	5.588516625	5.541104	5.56138546875	5.472710375	5.5745354375	5.5114528125	5.5054151875	5.4950839375	5.4215286875	5.5105320625	5.5048440625	5.5763530625	5.589081	5.5401154375	5.5375405625	5.518962875	5.4309054375	5.4208186875	5.46065975	5.4997750625	5.47284475	5.55345821875	5.6148059375	5.579263875	5.4889284375	5.658609125	5.4481964375	5.5147055625	5.5973760625	5.5718956875	5.5599296875	5.5141703125	5.52906265625	5.56768775	5.574532625	5.414286875	5.54717825	5.471748625	5.42128575	5.46218525	5.5917746875	5.461572	5.507831375	5.524849125	5.464519625	5.440081875	5.449416625	5.45654815625	5.500155375	5.4630881875	5.56790378125	5.423761875	5.50272640625	5.34904846875	5.5023968125	5.4934543125	5.490750125	5.334777625	5.5169155625	5.4999088125	5.48503734375	5.5812495625	5.4626005	5.3226853125	5.3840403125	5.568724	5.5345028125	5.480736375	5.614906375	5.4720643125	5.4533061875	5.550890625	5.5637318125	5.5270304375	5.6300053125
PIM1	7.4684639375	7.168933375	7.3555655	7.438174375	7.152056	7.15758575	7.041333875	7.18279525	7.2172380625	7.5663386875	7.075741375	7.108098125	7.278780625	7.0960195	7.442922375	7.2463045	7.3935341875	7.25819775	7.384142375	6.992689125	7.23247675	7.132854375	7.610086375	7.261056625	7.17628975	7.511677375	7.186501625	6.9815585	7.158286375	6.9001268125	7.695693	7.122236625	7.099851375	7.117964125	6.854667	7.455017125	7.18762875	7.13848125	6.997958	6.868919125	7.164271	7.108316625	6.916153625	7.277584125	7.188199875	6.945781125	7.1413185	7.032597	6.938209625	6.961615	6.946848125	6.910252375	7.431852375	7.38524675	7.036261625	7.504201375	7.070092125	7.231775	7.19120675	7.247573	6.862019	7.1789995	6.849065125	7.228751125	6.909363	6.886382	6.98582475	7.1676955	7.010367625	7.034094625	7.278780625	7.08629275	7.0286095	7.2512211875	7.1847213125	7.464492	7.108563625	7.070717125	7.328856875	7.028380625
HIVEP1	5.6986205	5.421245	5.502161125	5.726069375	5.645989	5.45981	5.660679375	5.550552875	5.692695625	5.55804125	5.634228	5.611829875	5.543588125	5.43355375	5.818886125	5.55306125	5.593131625	5.5682765	5.67707225	5.777448375	5.54667775	5.530054625	5.8260965	5.80964825	5.80750525	5.65706175	5.7392985	5.60093025	5.455726375	5.59991675	5.456189125	5.716255125	5.570814625	5.55923325	5.3164235	5.6394465	5.487746375	5.31120175	5.591742625	5.36336325	5.616352625	5.508696	5.341099125	5.532638	5.51167625	5.418484875	5.409944625	5.65034375	5.22547225	5.60961475	5.366103875	5.58722175	5.547718625	5.7016325	5.586482375	5.838173125	5.44634525	5.66232575	5.650505625	5.663201125	5.54936025	5.54487725	5.634553625	5.432875625	5.47060175	5.395540875	5.475938375	5.38674625	5.477740125	5.36085625	5.3184385	5.442268375	5.580262875	5.737557375	5.364760375	5.529548125	5.3953795	5.439932625	5.420790875	5.83450625
CDKN2A	5.766364125	5.806868625	5.668323375	5.71300983333333	5.75165525	5.82410770833333	5.81122620833333	5.92393625	5.84009641666667	5.73911595833333	5.85362104166667	5.99818229166667	5.92104352083333	5.71316625	5.86896904166667	5.81905460416667	5.92386641666667	5.80817895833333	5.771275125	5.764424125	5.79136191666667	5.79303741666667	5.85228825	5.6875688125	5.842527875	5.86668116666667	5.806066875	5.76974983333333	5.9295293125	5.92362158333333	5.89715233333333	5.92835129166667	5.82361420833333	5.79621427083333	5.93150333333333	5.94437683333333	5.87914183333333	5.83402804166667	5.8899825	5.91597991666667	5.91927595833333	5.89597795833333	5.93535166666667	5.87421558333333	5.72514370833333	5.85227779166667	5.84640054166667	5.9392205625	5.90407629166667	6.052333375	5.91189254166667	5.7625816875	5.797409375	5.79462214583333	5.87556775	5.97791616666667	5.89165220833333	5.84321058333333	5.931108375	5.91060091666667	5.87975270833333	5.96121383333333	5.88750875	5.85694770833333	5.80591341666667	6.00111241666667	5.93961545833333	5.82392710416667	5.8954445	5.86898891666667	5.95412154166667	5.97222745833333	5.81445908333333	5.79823335416667	5.89253320833333	5.85075754166667	5.91731291666667	5.80445179166667	5.72939404166667	5.82662927083333
SIX1	5.88762325	5.91044425	5.88248275	5.876552375	5.923712	5.859713375	5.88055925	5.758662375	5.919807625	6.15923375	6.07099625	5.992051625	6.0171701875	5.89694725	5.777565875	6.101768875	6.2836035	5.91044425	6.127956375	5.95443625	5.85040225	5.95479175	6.058883875	5.710918	5.907968375	5.965523125	5.854055	5.958671	5.90232875	6.100929375	6.025873125	6.1760665	6.039720875	5.999102625	6.051979	5.937412875	5.8371046875	5.88993725	5.987076375	5.977602875	5.771459125	5.8711625	6.355314375	5.981465625	6.040799125	5.99565175	5.866753	6.00164825	6.070387875	6.135919375	6.032186375	5.986756375	6.202036625	5.955039875	5.98786025	6.0895385	6.064305375	5.865607875	5.961990875	6.1551255	5.86977775	6.098792	6.020664875	6.10268625	6.101588875	5.96387425	5.884988125	6.07644575	6.088368	6.016623125	6.00612175	6.05529375	5.79226725	5.958596125	6.077584375	6.145593375	6.05140275	6.025873125	6.0945739375	6.02827975
EWSR1	7.5644004375	7.21819695833333	7.50717629166667	7.43617941666667	7.67634629166667	7.209533625	7.41988514583333	7.55916270833333	7.61320416666667	7.30419941666667	7.385594	7.4131379375	7.5807911875	7.45462641666667	7.63273729166667	7.4190184375	7.68238691666667	7.2720255	7.63184804166667	7.53420985416667	7.45744070833333	7.49970004166667	7.52748066666667	7.725461	7.57949429166667	7.71719166666667	7.46919829166667	7.47858579166667	7.603045375	7.68104883333333	7.637277	7.64948354166667	7.59560004166667	7.54795704166667	7.76854079166667	7.56974225	7.732221875	7.560380625	7.6173625	7.47856291666667	7.84267054166667	7.67924120833333	7.81818170833333	7.64389645833333	7.64578570833333	7.52966079166667	7.45695125	7.61153354166667	7.389435875	7.682650875	7.46353229166667	7.54489070833333	7.6011835	7.63578645833333	7.74361095833333	7.786726375	7.73411520833333	7.472818375	7.40374666666667	7.37941708333333	7.62640820833333	7.479844625	7.644382	7.66868260416667	7.76391920833333	7.435443	7.628860375	7.61264508333333	7.66794720833333	7.918321625	7.648519875	7.60920666666667	7.77363620833333	7.59933779166667	7.56207241666667	7.550582375	7.43359304166667	7.68961908333333	7.59271254166667	7.33742370833333
PDCD10	10.077015	10.063668625	10.23528675	10.018252	10.32450825	10.164288125	10.149777375	9.5849655	9.959484125	10.219359125	10.351404	10.141097875	9.687995625	10.0746045	9.8222135	10.0875199375	9.16311175	9.72735475	10.121016875	10.192986	10.1166265	10.1790385	10.1663845	10.0814035	10.250806375	9.6691295	9.929181375	10.068120375	9.674580125	9.969854125	9.86422375	9.7909515	9.491336625	9.473422375	9.527187875	9.2564	10.097972	9.965871875	9.900874	9.921843875	10.314746375	10.496065625	10.51326225	9.56599075	10.14759575	9.525232	10.00864625	10.125678125	10.036987875	10.1663845	9.826758625	10.048212625	10.195664	9.976948375	10.039237	10.073377125	10.249007625	10.396126125	9.995787125	9.77863525	10.0348345	10.1663845	10.162887125	10.14759575	9.992645625	10.046223	10.3197145	10.1545105	10.173112125	10.005646125	9.907268	9.4957065	10.25582925	9.93823725	9.892978375	10.3081	10.174216625	10.073377125	10.130303375	10.0028465
NR2E1	5.445831875	5.530896875	5.49707125	5.60853575	5.579308375	5.717185375	5.528129125	5.462673	5.56414025	5.507922125	5.597987125	5.550045625	5.448266625	5.569378625	5.66622925	5.5607505	5.6332244375	5.598717125	5.496604125	5.5187583125	5.5311615	5.445449625	5.590023375	5.647327375	5.680569	5.60093025	5.477134125	5.4815005	5.66635	5.513173875	5.73435425	5.56132425	5.321184125	5.64821725	5.533779125	5.618673625	5.81058675	5.60798575	5.605109375	5.495871875	5.619001375	5.683408625	5.543789875	5.46281075	5.447974875	5.519952375	5.751439875	5.67816775	5.587906875	5.589881	5.55140675	5.534819375	5.534240875	5.503571625	5.550552875	5.462288375	5.55363225	5.5672555	5.606092875	5.668685875	5.48248425	5.590150125	5.394675875	5.73306525	5.78162575	5.84674125	5.561955125	5.6974065	5.6604065	5.655960625	5.712484375	5.776045375	5.90978025	5.530183	5.5578865	5.7231864375	5.717011125	5.715871	5.753442375	5.626574375
PPM1D	7.093753625	7.06536425	7.783991	7.780518125	7.466707375	7.483794	6.995106	7.395776375	7.93813975	7.672844125	7.715000875	7.8269235	7.213182375	7.4082943125	7.307335625	7.6675290625	7.158543625	7.43240325	8.23865225	7.817437875	7.5490615	7.814923125	7.644273875	7.934775375	7.645952125	7.5065775	7.74314925	7.889719375	7.4818255	7.3400361875	7.733962625	7.295044625	7.09460525	7.550861875	7.186235875	7.18279525	8.1217405	7.600169	7.313485	7.31652875	7.7962875	7.292711	7.555331	7.659256375	7.5424305	7.396986125	7.995720625	8.138599125	7.82471825	7.596622375	7.21805225	7.80529275	7.84237725	7.6406425	7.97292375	8.0534765	8.15399525	7.731990125	8.018929875	7.630458125	8.029207625	8.05422675	7.9983228125	7.433561375	7.90674175	7.13027625	7.629953875	7.61776425	7.484561875	7.878164	7.50058625	7.067527625	7.793417375	7.3342945	7.21236675	7.5147305	7.703336125	7.765561625	7.77869075	7.6316575
HRAS	5.6998005	6.134539875	5.5312295625	5.439676125	5.7738365	5.616059375	5.75232725	5.848590625	5.8755445	5.59444825	5.410257875	5.450642375	5.740478625	5.664228	5.772207125	5.717185375	6.02708375	6.0475975	5.4449415	5.681585	5.872025375	5.7511845	5.635623875	5.642959	5.711908375	5.751061125	5.765485	5.822312375	5.803369875	6.2189185	6.021161375	6.083739625	5.981465625	5.9691445	6.023408	5.87365525	5.756991125	5.829769	5.793424375	5.849327125	5.55725025	5.72938175	5.4241436875	5.996947125	5.522057375	5.90592175	5.35741225	5.533626125	5.624285625	5.61087775	5.715731	5.585723375	5.984451875	5.702269125	5.65752775	5.605819375	5.4990445	5.61234725	5.5578865	5.7078725	5.75844825	5.6142235	5.71992275	5.576313375	5.439932625	5.539914875	5.60064125	5.862255875	5.630188625	5.59845125	5.721398625	5.8468130625	5.65677975	6.061697625	6.080610875	5.76269075	5.9010075	5.59444825	5.759906375	6.036842
